,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_40826,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
1,sequence_40787,0,0,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,10,10,10,10,10
2,sequence_40789,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
3,sequence_40794,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
4,sequence_40806,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
5,sequence_40807,0,0,1,0,1,1,0,0,1,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,27,27
6,sequence_40809,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
7,sequence_40811,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
8,sequence_40813,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
9,sequence_40814,1,1,0,1,0,0,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
10,sequence_40845,1,1,0,1,0,0,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
11,sequence_40855,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
12,sequence_40857,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
13,sequence_40840,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,26,26,26
14,sequence_40841,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,3,3,1,0,4,1,1,0,0,1,0,0
